output_filename,s1_path,s2_path
1279_072_-1.5146_1010_030_1.5146.wav,WSJ0-Hin/cv/072/1279_072.wav,WSJ0-Hin/cv/030/1010_030.wav
2288_018_-0.8282_2810_072_0.8282.wav,WSJ0-Hin/cv/018/2288_018.wav,WSJ0-Hin/cv/072/2810_072.wav
2659_018_1.1517_1264_091_-1.1517.wav,WSJ0-Hin/cv/018/2659_018.wav,WSJ0-Hin/cv/091/1264_091.wav
2657_072_1.5016_4380_018_-1.5016.wav,WSJ0-Hin/cv/072/2657_072.wav,WSJ0-Hin/cv/018/4380_018.wav
0977_018_-1.8056_1045_030_1.8056.wav,WSJ0-Hin/cv/018/0977_018.wav,WSJ0-Hin/cv/030/1045_030.wav
2555_091_-0.0594_3709_072_0.0594.wav,WSJ0-Hin/cv/091/2555_091.wav,WSJ0-Hin/cv/072/3709_072.wav
4826_018_1.1228_0866_072_-1.1228.wav,WSJ0-Hin/cv/018/4826_018.wav,WSJ0-Hin/cv/072/0866_072.wav
5473_039_0.5475_3783_072_-0.5475.wav,WSJ0-Hin/cv/039/5473_039.wav,WSJ0-Hin/cv/072/3783_072.wav
4187_039_-1.6998_0009_072_1.6998.wav,WSJ0-Hin/cv/039/4187_039.wav,WSJ0-Hin/cv/072/0009_072.wav
5919_039_0.3734_3232_072_-0.3734.wav,WSJ0-Hin/cv/039/5919_039.wav,WSJ0-Hin/cv/072/3232_072.wav
0800_072_0.6694_2679_018_-0.6694.wav,WSJ0-Hin/cv/072/0800_072.wav,WSJ0-Hin/cv/018/2679_018.wav
2461_072_1.6005_4860_018_-1.6005.wav,WSJ0-Hin/cv/072/2461_072.wav,WSJ0-Hin/cv/018/4860_018.wav
5651_018_-1.0030_2655_072_1.0030.wav,WSJ0-Hin/cv/018/5651_018.wav,WSJ0-Hin/cv/072/2655_072.wav
4864_030_-0.6918_1176_018_0.6918.wav,WSJ0-Hin/cv/030/4864_030.wav,WSJ0-Hin/cv/018/1176_018.wav
3042_072_1.5254_4838_018_-1.5254.wav,WSJ0-Hin/cv/072/3042_072.wav,WSJ0-Hin/cv/018/4838_018.wav
4307_072_1.8598_0926_018_-1.8598.wav,WSJ0-Hin/cv/072/4307_072.wav,WSJ0-Hin/cv/018/0926_018.wav
4951_072_-0.7444_2387_018_0.7444.wav,WSJ0-Hin/cv/072/4951_072.wav,WSJ0-Hin/cv/018/2387_018.wav
4173_018_2.4827_6023_072_-2.4827.wav,WSJ0-Hin/cv/018/4173_018.wav,WSJ0-Hin/cv/072/6023_072.wav
3228_072_-0.0946_5077_030_0.0946.wav,WSJ0-Hin/cv/072/3228_072.wav,WSJ0-Hin/cv/030/5077_030.wav
2798_039_-0.3107_5370_030_0.3107.wav,WSJ0-Hin/cv/039/2798_039.wav,WSJ0-Hin/cv/030/5370_030.wav
0900_030_-0.9740_1181_039_0.9740.wav,WSJ0-Hin/cv/030/0900_030.wav,WSJ0-Hin/cv/039/1181_039.wav
4943_039_1.1982_1689_072_-1.1982.wav,WSJ0-Hin/cv/039/4943_039.wav,WSJ0-Hin/cv/072/1689_072.wav
2281_091_0.7179_3792_072_-0.7179.wav,WSJ0-Hin/cv/091/2281_091.wav,WSJ0-Hin/cv/072/3792_072.wav
0643_072_2.4092_0075_091_-2.4092.wav,WSJ0-Hin/cv/072/0643_072.wav,WSJ0-Hin/cv/091/0075_091.wav
3451_039_-0.3636_3741_018_0.3636.wav,WSJ0-Hin/cv/039/3451_039.wav,WSJ0-Hin/cv/018/3741_018.wav
1010_030_1.2319_0257_072_-1.2319.wav,WSJ0-Hin/cv/030/1010_030.wav,WSJ0-Hin/cv/072/0257_072.wav
2460_072_-2.2832_1366_039_2.2832.wav,WSJ0-Hin/cv/072/2460_072.wav,WSJ0-Hin/cv/039/1366_039.wav
4265_018_-2.2569_4882_072_2.2569.wav,WSJ0-Hin/cv/018/4265_018.wav,WSJ0-Hin/cv/072/4882_072.wav
2048_018_-0.4031_1078_091_0.4031.wav,WSJ0-Hin/cv/018/2048_018.wav,WSJ0-Hin/cv/091/1078_091.wav
1631_072_1.3160_0283_018_-1.3160.wav,WSJ0-Hin/cv/072/1631_072.wav,WSJ0-Hin/cv/018/0283_018.wav
3390_039_0.0062_0636_018_-0.0062.wav,WSJ0-Hin/cv/039/3390_039.wav,WSJ0-Hin/cv/018/0636_018.wav
4279_091_2.0761_0799_072_-2.0761.wav,WSJ0-Hin/cv/091/4279_091.wav,WSJ0-Hin/cv/072/0799_072.wav
0355_018_0.8245_5486_072_-0.8245.wav,WSJ0-Hin/cv/018/0355_018.wav,WSJ0-Hin/cv/072/5486_072.wav
4402_072_-2.1599_0466_030_2.1599.wav,WSJ0-Hin/cv/072/4402_072.wav,WSJ0-Hin/cv/030/0466_030.wav
2391_018_-0.9168_4839_072_0.9168.wav,WSJ0-Hin/cv/018/2391_018.wav,WSJ0-Hin/cv/072/4839_072.wav
5321_018_-2.1162_5041_030_2.1162.wav,WSJ0-Hin/cv/018/5321_018.wav,WSJ0-Hin/cv/030/5041_030.wav
1877_039_1.0241_5106_030_-1.0241.wav,WSJ0-Hin/cv/039/1877_039.wav,WSJ0-Hin/cv/030/5106_030.wav
4286_018_-0.4023_3036_072_0.4023.wav,WSJ0-Hin/cv/018/4286_018.wav,WSJ0-Hin/cv/072/3036_072.wav
1637_072_1.5885_2519_039_-1.5885.wav,WSJ0-Hin/cv/072/1637_072.wav,WSJ0-Hin/cv/039/2519_039.wav
2431_030_0.2403_5191_072_-0.2403.wav,WSJ0-Hin/cv/030/2431_030.wav,WSJ0-Hin/cv/072/5191_072.wav
2648_091_1.6106_6018_030_-1.6106.wav,WSJ0-Hin/cv/091/2648_091.wav,WSJ0-Hin/cv/030/6018_030.wav
5584_030_-0.2313_1967_039_0.2313.wav,WSJ0-Hin/cv/030/5584_030.wav,WSJ0-Hin/cv/039/1967_039.wav
0683_030_0.9507_5263_018_-0.9507.wav,WSJ0-Hin/cv/030/0683_030.wav,WSJ0-Hin/cv/018/5263_018.wav
3235_072_-2.3533_1952_018_2.3533.wav,WSJ0-Hin/cv/072/3235_072.wav,WSJ0-Hin/cv/018/1952_018.wav
1742_039_-1.5309_0196_072_1.5309.wav,WSJ0-Hin/cv/039/1742_039.wav,WSJ0-Hin/cv/072/0196_072.wav
4893_072_0.7050_0930_091_-0.7050.wav,WSJ0-Hin/cv/072/4893_072.wav,WSJ0-Hin/cv/091/0930_091.wav
1836_018_1.1361_3038_072_-1.1361.wav,WSJ0-Hin/cv/018/1836_018.wav,WSJ0-Hin/cv/072/3038_072.wav
0881_072_2.0813_2576_091_-2.0813.wav,WSJ0-Hin/cv/072/0881_072.wav,WSJ0-Hin/cv/091/2576_091.wav
0054_039_1.0729_2273_018_-1.0729.wav,WSJ0-Hin/cv/039/0054_039.wav,WSJ0-Hin/cv/018/2273_018.wav
1736_018_-1.2787_3002_039_1.2787.wav,WSJ0-Hin/cv/018/1736_018.wav,WSJ0-Hin/cv/039/3002_039.wav
2999_039_0.4082_5263_018_-0.4082.wav,WSJ0-Hin/cv/039/2999_039.wav,WSJ0-Hin/cv/018/5263_018.wav
5651_018_-0.0255_3840_039_0.0255.wav,WSJ0-Hin/cv/018/5651_018.wav,WSJ0-Hin/cv/039/3840_039.wav
0054_039_-1.3273_3880_018_1.3273.wav,WSJ0-Hin/cv/039/0054_039.wav,WSJ0-Hin/cv/018/3880_018.wav
2496_030_2.3476_5651_018_-2.3476.wav,WSJ0-Hin/cv/030/2496_030.wav,WSJ0-Hin/cv/018/5651_018.wav
1174_018_-1.9049_3156_091_1.9049.wav,WSJ0-Hin/cv/018/1174_018.wav,WSJ0-Hin/cv/091/3156_091.wav
1312_018_-0.7402_0189_072_0.7402.wav,WSJ0-Hin/cv/018/1312_018.wav,WSJ0-Hin/cv/072/0189_072.wav
1301_072_0.3713_4055_018_-0.3713.wav,WSJ0-Hin/cv/072/1301_072.wav,WSJ0-Hin/cv/018/4055_018.wav
5417_030_1.9318_4105_091_-1.9318.wav,WSJ0-Hin/cv/030/5417_030.wav,WSJ0-Hin/cv/091/4105_091.wav
0913_030_-0.2677_0291_072_0.2677.wav,WSJ0-Hin/cv/030/0913_030.wav,WSJ0-Hin/cv/072/0291_072.wav
2471_018_1.6493_4990_072_-1.6493.wav,WSJ0-Hin/cv/018/2471_018.wav,WSJ0-Hin/cv/072/4990_072.wav
5613_039_0.5627_3987_018_-0.5627.wav,WSJ0-Hin/cv/039/5613_039.wav,WSJ0-Hin/cv/018/3987_018.wav
4443_072_0.6177_1782_039_-0.6177.wav,WSJ0-Hin/cv/072/4443_072.wav,WSJ0-Hin/cv/039/1782_039.wav
4921_018_1.0694_2460_030_-1.0694.wav,WSJ0-Hin/cv/018/4921_018.wav,WSJ0-Hin/cv/030/2460_030.wav
2937_039_1.6800_4367_018_-1.6800.wav,WSJ0-Hin/cv/039/2937_039.wav,WSJ0-Hin/cv/018/4367_018.wav
5062_072_-1.1333_0868_039_1.1333.wav,WSJ0-Hin/cv/072/5062_072.wav,WSJ0-Hin/cv/039/0868_039.wav
1063_018_1.5622_0323_072_-1.5622.wav,WSJ0-Hin/cv/018/1063_018.wav,WSJ0-Hin/cv/072/0323_072.wav
6003_039_0.4487_5696_030_-0.4487.wav,WSJ0-Hin/cv/039/6003_039.wav,WSJ0-Hin/cv/030/5696_030.wav
3567_039_-0.2394_4928_091_0.2394.wav,WSJ0-Hin/cv/039/3567_039.wav,WSJ0-Hin/cv/091/4928_091.wav
3006_039_-1.3357_0164_030_1.3357.wav,WSJ0-Hin/cv/039/3006_039.wav,WSJ0-Hin/cv/030/0164_030.wav
3134_072_-0.1822_1821_018_0.1822.wav,WSJ0-Hin/cv/072/3134_072.wav,WSJ0-Hin/cv/018/1821_018.wav
0859_018_1.5237_5769_072_-1.5237.wav,WSJ0-Hin/cv/018/0859_018.wav,WSJ0-Hin/cv/072/5769_072.wav
0379_030_2.2901_1689_072_-2.2901.wav,WSJ0-Hin/cv/030/0379_030.wav,WSJ0-Hin/cv/072/1689_072.wav
1472_039_1.1364_0488_018_-1.1364.wav,WSJ0-Hin/cv/039/1472_039.wav,WSJ0-Hin/cv/018/0488_018.wav
2631_072_0.3435_3586_039_-0.3435.wav,WSJ0-Hin/cv/072/2631_072.wav,WSJ0-Hin/cv/039/3586_039.wav
2402_072_1.0763_5465_039_-1.0763.wav,WSJ0-Hin/cv/072/2402_072.wav,WSJ0-Hin/cv/039/5465_039.wav
2611_072_-2.3687_3206_039_2.3687.wav,WSJ0-Hin/cv/072/2611_072.wav,WSJ0-Hin/cv/039/3206_039.wav
4813_039_-1.7844_1336_072_1.7844.wav,WSJ0-Hin/cv/039/4813_039.wav,WSJ0-Hin/cv/072/1336_072.wav
3318_018_-0.7790_4090_072_0.7790.wav,WSJ0-Hin/cv/018/3318_018.wav,WSJ0-Hin/cv/072/4090_072.wav
3707_018_-0.6518_2431_072_0.6518.wav,WSJ0-Hin/cv/018/3707_018.wav,WSJ0-Hin/cv/072/2431_072.wav
3340_018_0.8704_0544_039_-0.8704.wav,WSJ0-Hin/cv/018/3340_018.wav,WSJ0-Hin/cv/039/0544_039.wav
1736_018_-2.2061_2386_030_2.2061.wav,WSJ0-Hin/cv/018/1736_018.wav,WSJ0-Hin/cv/030/2386_030.wav
5269_039_-1.7976_4249_072_1.7976.wav,WSJ0-Hin/cv/039/5269_039.wav,WSJ0-Hin/cv/072/4249_072.wav
4830_018_-1.5106_2561_072_1.5106.wav,WSJ0-Hin/cv/018/4830_018.wav,WSJ0-Hin/cv/072/2561_072.wav
5543_072_1.4172_4935_030_-1.4172.wav,WSJ0-Hin/cv/072/5543_072.wav,WSJ0-Hin/cv/030/4935_030.wav
4396_072_1.9258_4920_091_-1.9258.wav,WSJ0-Hin/cv/072/4396_072.wav,WSJ0-Hin/cv/091/4920_091.wav
3127_091_1.2051_5199_030_-1.2051.wav,WSJ0-Hin/cv/091/3127_091.wav,WSJ0-Hin/cv/030/5199_030.wav
5361_072_-1.1581_0768_030_1.1581.wav,WSJ0-Hin/cv/072/5361_072.wav,WSJ0-Hin/cv/030/0768_030.wav
3486_030_-0.5793_1690_039_0.5793.wav,WSJ0-Hin/cv/030/3486_030.wav,WSJ0-Hin/cv/039/1690_039.wav
3631_018_-0.4622_2382_072_0.4622.wav,WSJ0-Hin/cv/018/3631_018.wav,WSJ0-Hin/cv/072/2382_072.wav
0289_018_-1.6115_3060_072_1.6115.wav,WSJ0-Hin/cv/018/0289_018.wav,WSJ0-Hin/cv/072/3060_072.wav
3464_018_2.1551_5722_072_-2.1551.wav,WSJ0-Hin/cv/018/3464_018.wav,WSJ0-Hin/cv/072/5722_072.wav
5767_039_-0.9847_5889_018_0.9847.wav,WSJ0-Hin/cv/039/5767_039.wav,WSJ0-Hin/cv/018/5889_018.wav
