output_filename,s1_path,s2_path
0093_026_-1.6424_2414_006_1.6424.wav,WSJ0-Hin/tr/026/0093_026.wav,WSJ0-Hin/tr/006/2414_006.wav
1818_060_-0.5541_5691_097_0.5541.wav,WSJ0-Hin/tr/060/1818_060.wav,WSJ0-Hin/tr/097/5691_097.wav
0067_034_0.8894_4558_005_-0.8894.wav,WSJ0-Hin/tr/034/0067_034.wav,WSJ0-Hin/tr/005/4558_005.wav
4048_080_1.3260_2025_077_-1.3260.wav,WSJ0-Hin/tr/080/4048_080.wav,WSJ0-Hin/tr/077/2025_077.wav
3684_037_0.0091_1024_024_-0.0091.wav,WSJ0-Hin/tr/037/3684_037.wav,WSJ0-Hin/tr/024/1024_024.wav
1716_077_-0.9198_3627_026_0.9198.wav,WSJ0-Hin/tr/077/1716_077.wav,WSJ0-Hin/tr/026/3627_026.wav
2134_024_-0.1954_4988_005_0.1954.wav,WSJ0-Hin/tr/024/2134_024.wav,WSJ0-Hin/tr/005/4988_005.wav
3811_035_0.0025_5376_019_-0.0025.wav,WSJ0-Hin/tr/035/3811_035.wav,WSJ0-Hin/tr/019/5376_019.wav
3086_027_0.4487_1211_034_-0.4487.wav,WSJ0-Hin/tr/027/3086_027.wav,WSJ0-Hin/tr/034/1211_034.wav
5439_093_-2.4179_5833_034_2.4179.wav,WSJ0-Hin/tr/093/5439_093.wav,WSJ0-Hin/tr/034/5833_034.wav
1528_076_1.8705_5870_002_-1.8705.wav,WSJ0-Hin/tr/076/1528_076.wav,WSJ0-Hin/tr/002/5870_002.wav
5312_078_2.4336_0052_056_-2.4336.wav,WSJ0-Hin/tr/078/5312_078.wav,WSJ0-Hin/tr/056/0052_056.wav
1577_076_-1.9619_1226_073_1.9619.wav,WSJ0-Hin/tr/076/1577_076.wav,WSJ0-Hin/tr/073/1226_073.wav
4349_046_0.3125_3054_009_-0.3125.wav,WSJ0-Hin/tr/046/4349_046.wav,WSJ0-Hin/tr/009/3054_009.wav
1680_005_-0.2173_1952_034_0.2173.wav,WSJ0-Hin/tr/005/1680_005.wav,WSJ0-Hin/tr/034/1952_034.wav
1706_078_1.7125_5701_093_-1.7125.wav,WSJ0-Hin/tr/078/1706_078.wav,WSJ0-Hin/tr/093/5701_093.wav
0442_073_-2.0824_3800_047_2.0824.wav,WSJ0-Hin/tr/073/0442_073.wav,WSJ0-Hin/tr/047/3800_047.wav
2815_076_-1.2070_5311_079_1.2070.wav,WSJ0-Hin/tr/076/2815_076.wav,WSJ0-Hin/tr/079/5311_079.wav
5303_051_1.3893_1930_015_-1.3893.wav,WSJ0-Hin/tr/051/5303_051.wav,WSJ0-Hin/tr/015/1930_015.wav
5130_005_-2.3396_4677_013_2.3396.wav,WSJ0-Hin/tr/005/5130_005.wav,WSJ0-Hin/tr/013/4677_013.wav
4758_051_2.4247_5940_015_-2.4247.wav,WSJ0-Hin/tr/051/4758_051.wav,WSJ0-Hin/tr/015/5940_015.wav
1968_024_0.1707_2004_009_-0.1707.wav,WSJ0-Hin/tr/024/1968_024.wav,WSJ0-Hin/tr/009/2004_009.wav
0333_024_0.1496_3271_077_-0.1496.wav,WSJ0-Hin/tr/024/0333_024.wav,WSJ0-Hin/tr/077/3271_077.wav
5802_013_-0.5640_3949_080_0.5640.wav,WSJ0-Hin/tr/013/5802_013.wav,WSJ0-Hin/tr/080/3949_080.wav
5813_076_-2.1102_2835_073_2.1102.wav,WSJ0-Hin/tr/076/5813_076.wav,WSJ0-Hin/tr/073/2835_073.wav
3899_005_-0.6690_0003_019_0.6690.wav,WSJ0-Hin/tr/005/3899_005.wav,WSJ0-Hin/tr/019/0003_019.wav
2708_079_-2.2546_4937_076_2.2546.wav,WSJ0-Hin/tr/079/2708_079.wav,WSJ0-Hin/tr/076/4937_076.wav
3593_056_0.2698_5238_024_-0.2698.wav,WSJ0-Hin/tr/056/3593_056.wav,WSJ0-Hin/tr/024/5238_024.wav
4025_032_-1.8845_1134_033_1.8845.wav,WSJ0-Hin/tr/032/4025_032.wav,WSJ0-Hin/tr/033/1134_033.wav
4265_035_-2.2211_3370_068_2.2211.wav,WSJ0-Hin/tr/035/4265_035.wav,WSJ0-Hin/tr/068/3370_068.wav
0388_035_-1.7055_3985_024_1.7055.wav,WSJ0-Hin/tr/035/0388_035.wav,WSJ0-Hin/tr/024/3985_024.wav
