output_filename,s1_path,s2_path
2087_086_-1.3948_2131_008_1.3948.wav,WSJ0-Hin/tt/086/2087_086.wav,WSJ0-Hin/tt/008/2131_008.wav
6010_061_-0.8376_0982_028_0.8376.wav,WSJ0-Hin/tt/061/6010_061.wav,WSJ0-Hin/tt/028/0982_028.wav
3731_088_0.9358_1119_028_-0.9358.wav,WSJ0-Hin/tt/088/3731_088.wav,WSJ0-Hin/tt/028/1119_028.wav
0730_087_-1.4330_2328_036_1.4330.wav,WSJ0-Hin/tt/087/0730_087.wav,WSJ0-Hin/tt/036/2328_036.wav
1641_066_-2.3795_5678_087_2.3795.wav,WSJ0-Hin/tt/066/1641_066.wav,WSJ0-Hin/tt/087/5678_087.wav
5099_087_1.1159_5939_086_-1.1159.wav,WSJ0-Hin/tt/087/5099_087.wav,WSJ0-Hin/tt/086/5939_086.wav
4205_029_0.7406_1554_066_-0.7406.wav,WSJ0-Hin/tt/029/4205_029.wav,WSJ0-Hin/tt/066/1554_066.wav
3029_020_1.2051_2837_098_-1.2051.wav,WSJ0-Hin/tt/020/3029_020.wav,WSJ0-Hin/tt/098/2837_098.wav
1029_089_-0.9989_0786_086_0.9989.wav,WSJ0-Hin/tt/089/1029_089.wav,WSJ0-Hin/tt/086/0786_086.wav
3768_020_0.1598_2009_087_-0.1598.wav,WSJ0-Hin/tt/020/3768_020.wav,WSJ0-Hin/tt/087/2009_087.wav
0812_066_-1.9023_5537_061_1.9023.wav,WSJ0-Hin/tt/066/0812_066.wav,WSJ0-Hin/tt/061/5537_061.wav
2174_008_-2.1810_4068_098_2.1810.wav,WSJ0-Hin/tt/008/2174_008.wav,WSJ0-Hin/tt/098/4068_098.wav
0128_088_-2.0957_1073_089_2.0957.wav,WSJ0-Hin/tt/088/0128_088.wav,WSJ0-Hin/tt/089/1073_089.wav
2426_003_1.5668_2131_036_-1.5668.wav,WSJ0-Hin/tt/003/2426_003.wav,WSJ0-Hin/tt/036/2131_036.wav
4533_008_0.6215_1098_086_-0.6215.wav,WSJ0-Hin/tt/008/4533_008.wav,WSJ0-Hin/tt/086/1098_086.wav
5028_086_-1.1354_0797_087_1.1354.wav,WSJ0-Hin/tt/086/5028_086.wav,WSJ0-Hin/tt/087/0797_087.wav
1468_036_1.0994_0760_066_-1.0994.wav,WSJ0-Hin/tt/036/1468_036.wav,WSJ0-Hin/tt/066/0760_066.wav
4621_061_1.5488_0830_008_-1.5488.wav,WSJ0-Hin/tt/061/4621_061.wav,WSJ0-Hin/tt/008/0830_008.wav
1314_089_-1.1817_2837_086_1.1817.wav,WSJ0-Hin/tt/089/1314_089.wav,WSJ0-Hin/tt/086/2837_086.wav
4289_003_0.0215_5021_098_-0.0215.wav,WSJ0-Hin/tt/003/4289_003.wav,WSJ0-Hin/tt/098/5021_098.wav
5746_003_-2.3113_1317_088_2.3113.wav,WSJ0-Hin/tt/003/5746_003.wav,WSJ0-Hin/tt/088/1317_088.wav
6010_029_0.7741_5956_008_-0.7741.wav,WSJ0-Hin/tt/029/6010_029.wav,WSJ0-Hin/tt/008/5956_008.wav
4075_066_1.0119_5028_008_-1.0119.wav,WSJ0-Hin/tt/066/4075_066.wav,WSJ0-Hin/tt/008/5028_008.wav
0281_025_0.0891_1064_086_-0.0891.wav,WSJ0-Hin/tt/025/0281_025.wav,WSJ0-Hin/tt/086/1064_086.wav
0347_098_-0.8833_1933_088_0.8833.wav,WSJ0-Hin/tt/098/0347_098.wav,WSJ0-Hin/tt/088/1933_088.wav
4527_098_1.1344_1811_036_-1.1344.wav,WSJ0-Hin/tt/098/4527_098.wav,WSJ0-Hin/tt/036/1811_036.wav
4705_008_-1.9997_0347_069_1.9997.wav,WSJ0-Hin/tt/008/4705_008.wav,WSJ0-Hin/tt/069/0347_069.wav
3147_061_-1.6894_4383_096_1.6894.wav,WSJ0-Hin/tt/061/3147_061.wav,WSJ0-Hin/tt/096/4383_096.wav
2795_087_0.4678_2014_088_-0.4678.wav,WSJ0-Hin/tt/087/2795_087.wav,WSJ0-Hin/tt/088/2014_088.wav
5155_089_-1.6848_5214_087_1.6848.wav,WSJ0-Hin/tt/089/5155_089.wav,WSJ0-Hin/tt/087/5214_087.wav
4525_088_-0.0305_0156_066_0.0305.wav,WSJ0-Hin/tt/088/4525_088.wav,WSJ0-Hin/tt/066/0156_066.wav
1177_020_-2.2486_3147_028_2.2486.wav,WSJ0-Hin/tt/020/1177_020.wav,WSJ0-Hin/tt/028/3147_028.wav
2070_003_2.2512_4434_061_-2.2512.wav,WSJ0-Hin/tt/003/2070_003.wav,WSJ0-Hin/tt/061/4434_061.wav
4533_087_1.3813_4602_088_-1.3813.wav,WSJ0-Hin/tt/087/4533_087.wav,WSJ0-Hin/tt/088/4602_088.wav
4385_098_2.1467_1531_089_-2.1467.wav,WSJ0-Hin/tt/098/4385_098.wav,WSJ0-Hin/tt/089/1531_089.wav
4798_089_1.3815_4075_052_-1.3815.wav,WSJ0-Hin/tt/089/4798_089.wav,WSJ0-Hin/tt/052/4075_052.wav
1029_089_1.2082_0340_066_-1.2082.wav,WSJ0-Hin/tt/089/1029_089.wav,WSJ0-Hin/tt/066/0340_066.wav
1766_096_-1.3004_2314_098_1.3004.wav,WSJ0-Hin/tt/096/1766_096.wav,WSJ0-Hin/tt/098/2314_098.wav
2260_087_0.4873_0867_098_-0.4873.wav,WSJ0-Hin/tt/087/2260_087.wav,WSJ0-Hin/tt/098/0867_098.wav
4667_086_-0.7760_5071_088_0.7760.wav,WSJ0-Hin/tt/086/4667_086.wav,WSJ0-Hin/tt/088/5071_088.wav
0769_003_-0.8458_5766_061_0.8458.wav,WSJ0-Hin/tt/003/0769_003.wav,WSJ0-Hin/tt/061/5766_061.wav
2860_020_2.3667_5868_087_-2.3667.wav,WSJ0-Hin/tt/020/2860_020.wav,WSJ0-Hin/tt/087/5868_087.wav
4967_086_-0.2485_1166_029_0.2485.wav,WSJ0-Hin/tt/086/4967_086.wav,WSJ0-Hin/tt/029/1166_029.wav
5956_029_1.9642_1284_096_-1.9642.wav,WSJ0-Hin/tt/029/5956_029.wav,WSJ0-Hin/tt/096/1284_096.wav
1614_066_-0.7254_0812_008_0.7254.wav,WSJ0-Hin/tt/066/1614_066.wav,WSJ0-Hin/tt/008/0812_008.wav
0305_089_-1.3052_4531_088_1.3052.wav,WSJ0-Hin/tt/089/0305_089.wav,WSJ0-Hin/tt/088/4531_088.wav
2880_061_-1.9467_1222_098_1.9467.wav,WSJ0-Hin/tt/061/2880_061.wav,WSJ0-Hin/tt/098/1222_098.wav
2953_086_0.2139_5766_088_-0.2139.wav,WSJ0-Hin/tt/086/2953_086.wav,WSJ0-Hin/tt/088/5766_088.wav
1168_003_1.7524_3864_087_-1.7524.wav,WSJ0-Hin/tt/003/1168_003.wav,WSJ0-Hin/tt/087/3864_087.wav
1066_087_0.5208_2853_088_-0.5208.wav,WSJ0-Hin/tt/087/1066_087.wav,WSJ0-Hin/tt/088/2853_088.wav
1183_003_-0.3721_1297_028_0.3721.wav,WSJ0-Hin/tt/003/1183_003.wav,WSJ0-Hin/tt/028/1297_028.wav
0730_036_0.4050_5783_087_-0.4050.wav,WSJ0-Hin/tt/036/0730_036.wav,WSJ0-Hin/tt/087/5783_087.wav
2142_029_0.0648_2287_036_-0.0648.wav,WSJ0-Hin/tt/029/2142_029.wav,WSJ0-Hin/tt/036/2287_036.wav
4153_008_1.9055_4123_052_-1.9055.wav,WSJ0-Hin/tt/008/4153_008.wav,WSJ0-Hin/tt/052/4123_052.wav
5671_088_-2.3333_5783_011_2.3333.wav,WSJ0-Hin/tt/088/5671_088.wav,WSJ0-Hin/tt/011/5783_011.wav
1108_008_-2.1869_1082_066_2.1869.wav,WSJ0-Hin/tt/008/1108_008.wav,WSJ0-Hin/tt/066/1082_066.wav
0330_089_-2.0814_2174_028_2.0814.wav,WSJ0-Hin/tt/089/0330_089.wav,WSJ0-Hin/tt/028/2174_028.wav
2211_029_1.1530_1650_088_-1.1530.wav,WSJ0-Hin/tt/029/2211_029.wav,WSJ0-Hin/tt/088/1650_088.wav
5590_098_-1.0470_1327_087_1.0470.wav,WSJ0-Hin/tt/098/5590_098.wav,WSJ0-Hin/tt/087/1327_087.wav
3847_087_0.0104_0742_098_-0.0104.wav,WSJ0-Hin/tt/087/3847_087.wav,WSJ0-Hin/tt/098/0742_098.wav
2976_028_-1.4924_4075_086_1.4924.wav,WSJ0-Hin/tt/028/2976_028.wav,WSJ0-Hin/tt/086/4075_086.wav
0757_088_1.1985_1019_098_-1.1985.wav,WSJ0-Hin/tt/088/0757_088.wav,WSJ0-Hin/tt/098/1019_098.wav
2795_036_-1.2263_2014_089_1.2263.wav,WSJ0-Hin/tt/036/2795_036.wav,WSJ0-Hin/tt/089/2014_089.wav
4541_003_2.3204_2795_029_-2.3204.wav,WSJ0-Hin/tt/003/4541_003.wav,WSJ0-Hin/tt/029/2795_029.wav
0972_028_1.7184_4690_098_-1.7184.wav,WSJ0-Hin/tt/028/0972_028.wav,WSJ0-Hin/tt/098/4690_098.wav
4511_029_0.6641_2381_061_-0.6641.wav,WSJ0-Hin/tt/029/4511_029.wav,WSJ0-Hin/tt/061/2381_061.wav
1503_020_-2.2901_4525_061_2.2901.wav,WSJ0-Hin/tt/020/1503_020.wav,WSJ0-Hin/tt/061/4525_061.wav
4122_061_-2.4625_0305_025_2.4625.wav,WSJ0-Hin/tt/061/4122_061.wav,WSJ0-Hin/tt/025/0305_025.wav
4621_052_-1.1311_3847_096_1.1311.wav,WSJ0-Hin/tt/052/4621_052.wav,WSJ0-Hin/tt/096/3847_096.wav
0447_088_-2.1520_5577_089_2.1520.wav,WSJ0-Hin/tt/088/0447_088.wav,WSJ0-Hin/tt/089/5577_089.wav
1255_020_0.9170_2176_029_-0.9170.wav,WSJ0-Hin/tt/020/1255_020.wav,WSJ0-Hin/tt/029/2176_029.wav
0820_066_-1.8797_0826_003_1.8797.wav,WSJ0-Hin/tt/066/0820_066.wav,WSJ0-Hin/tt/003/0826_003.wav
5737_086_-2.0051_1098_066_2.0051.wav,WSJ0-Hin/tt/086/5737_086.wav,WSJ0-Hin/tt/066/1098_066.wav
4088_088_1.2020_5198_086_-1.2020.wav,WSJ0-Hin/tt/088/4088_088.wav,WSJ0-Hin/tt/086/5198_086.wav
0607_088_-1.7403_0298_089_1.7403.wav,WSJ0-Hin/tt/088/0607_088.wav,WSJ0-Hin/tt/089/0298_089.wav
3415_020_-0.7806_1155_003_0.7806.wav,WSJ0-Hin/tt/020/3415_020.wav,WSJ0-Hin/tt/003/1155_003.wav
4843_098_1.1821_0865_087_-1.1821.wav,WSJ0-Hin/tt/098/4843_098.wav,WSJ0-Hin/tt/087/0865_087.wav
4146_066_-0.5027_0822_061_0.5027.wav,WSJ0-Hin/tt/066/4146_066.wav,WSJ0-Hin/tt/061/0822_061.wav
3905_003_-0.9626_0818_066_0.9626.wav,WSJ0-Hin/tt/003/3905_003.wav,WSJ0-Hin/tt/066/0818_066.wav
2070_020_0.3507_3827_087_-0.3507.wav,WSJ0-Hin/tt/020/2070_020.wav,WSJ0-Hin/tt/087/3827_087.wav
5079_029_0.8009_4674_088_-0.8009.wav,WSJ0-Hin/tt/029/5079_029.wav,WSJ0-Hin/tt/088/4674_088.wav
5200_089_-1.0727_1073_008_1.0727.wav,WSJ0-Hin/tt/089/5200_089.wav,WSJ0-Hin/tt/008/1073_008.wav
0590_089_1.0076_5169_052_-1.0076.wav,WSJ0-Hin/tt/089/0590_089.wav,WSJ0-Hin/tt/052/5169_052.wav
2452_098_2.4204_5945_086_-2.4204.wav,WSJ0-Hin/tt/098/2452_098.wav,WSJ0-Hin/tt/086/5945_086.wav
0861_008_-2.3989_0215_025_2.3989.wav,WSJ0-Hin/tt/008/0861_008.wav,WSJ0-Hin/tt/025/0215_025.wav
4201_098_-1.7436_0234_089_1.7436.wav,WSJ0-Hin/tt/098/4201_098.wav,WSJ0-Hin/tt/089/0234_089.wav
0298_089_1.8917_4782_098_-1.8917.wav,WSJ0-Hin/tt/089/0298_089.wav,WSJ0-Hin/tt/098/4782_098.wav
0891_028_-1.5886_3813_029_1.5886.wav,WSJ0-Hin/tt/028/0891_028.wav,WSJ0-Hin/tt/029/3813_029.wav
3005_086_1.2703_5225_003_-1.2703.wav,WSJ0-Hin/tt/086/3005_086.wav,WSJ0-Hin/tt/003/5225_003.wav
1432_087_-1.7085_0116_098_1.7085.wav,WSJ0-Hin/tt/087/1432_087.wav,WSJ0-Hin/tt/098/0116_098.wav
0891_089_-1.6020_1064_098_1.6020.wav,WSJ0-Hin/tt/089/0891_089.wav,WSJ0-Hin/tt/098/1064_098.wav
0889_028_2.0219_1221_003_-2.0219.wav,WSJ0-Hin/tt/028/0889_028.wav,WSJ0-Hin/tt/003/1221_003.wav
0742_066_-2.2132_2868_029_2.2132.wav,WSJ0-Hin/tt/066/0742_066.wav,WSJ0-Hin/tt/029/2868_029.wav
0786_003_-2.0176_2888_029_2.0176.wav,WSJ0-Hin/tt/003/0786_003.wav,WSJ0-Hin/tt/029/2888_029.wav
3563_003_-2.0100_4647_011_2.0100.wav,WSJ0-Hin/tt/003/3563_003.wav,WSJ0-Hin/tt/011/4647_011.wav
0213_069_-0.0968_1073_020_0.0968.wav,WSJ0-Hin/tt/069/0213_069.wav,WSJ0-Hin/tt/020/1073_020.wav
1183_028_-1.2007_2976_052_1.2007.wav,WSJ0-Hin/tt/028/1183_028.wav,WSJ0-Hin/tt/052/2976_052.wav
1475_098_2.1283_2227_003_-2.1283.wav,WSJ0-Hin/tt/098/1475_098.wav,WSJ0-Hin/tt/003/2227_003.wav
1074_086_1.7452_0394_028_-1.7452.wav,WSJ0-Hin/tt/086/1074_086.wav,WSJ0-Hin/tt/028/0394_028.wav
5532_003_-1.7305_0156_008_1.7305.wav,WSJ0-Hin/tt/003/5532_003.wav,WSJ0-Hin/tt/008/0156_008.wav
2328_003_-1.1920_4289_098_1.1920.wav,WSJ0-Hin/tt/003/2328_003.wav,WSJ0-Hin/tt/098/4289_098.wav
0136_088_-0.7834_2860_087_0.7834.wav,WSJ0-Hin/tt/088/0136_088.wav,WSJ0-Hin/tt/087/2860_087.wav
4532_008_1.4664_0160_098_-1.4664.wav,WSJ0-Hin/tt/008/4532_008.wav,WSJ0-Hin/tt/098/0160_098.wav
3330_036_-2.4763_0199_066_2.4763.wav,WSJ0-Hin/tt/036/3330_036.wav,WSJ0-Hin/tt/066/0199_066.wav
4117_098_0.1767_0156_008_-0.1767.wav,WSJ0-Hin/tt/098/4117_098.wav,WSJ0-Hin/tt/008/0156_008.wav
3170_098_-0.0926_3147_029_0.0926.wav,WSJ0-Hin/tt/098/3170_098.wav,WSJ0-Hin/tt/029/3147_029.wav
1255_029_-1.7393_3731_020_1.7393.wav,WSJ0-Hin/tt/029/1255_029.wav,WSJ0-Hin/tt/020/3731_020.wav
3768_088_-2.3798_4531_066_2.3798.wav,WSJ0-Hin/tt/088/3768_088.wav,WSJ0-Hin/tt/066/4531_066.wav
2165_003_1.2968_2158_086_-1.2968.wav,WSJ0-Hin/tt/003/2165_003.wav,WSJ0-Hin/tt/086/2158_086.wav
3827_087_-0.1338_4855_096_0.1338.wav,WSJ0-Hin/tt/087/3827_087.wav,WSJ0-Hin/tt/096/4855_096.wav
1284_089_-1.3208_2227_066_1.3208.wav,WSJ0-Hin/tt/089/1284_089.wav,WSJ0-Hin/tt/066/2227_066.wav
4782_098_-0.2877_5737_089_0.2877.wav,WSJ0-Hin/tt/098/4782_098.wav,WSJ0-Hin/tt/089/5737_089.wav
3330_052_0.7843_5011_066_-0.7843.wav,WSJ0-Hin/tt/052/3330_052.wav,WSJ0-Hin/tt/066/5011_066.wav
2381_020_1.7252_1108_087_-1.7252.wav,WSJ0-Hin/tt/020/2381_020.wav,WSJ0-Hin/tt/087/1108_087.wav
