utterance_id,noise_samples_beginning_16k,noise_sample_end_16k,target_speaker1_snr_db
40na010x_1.9857_01xo031a_-1.9857.wav,10863,31985,1.7752808004476472
020c0211_0.44692_40mc021b_-0.44692.wav,24854,25631,2.907001695982699
01do030h_1.6205_024o030m_-1.6205.wav,31761,11305,-2.628546912140037
20uo010f_2.3772_022c020k_-2.3772.wav,7334,24539,-2.539257009415917
20aa010c_1.617_01jc020s_-1.617.wav,8421,20913,1.3517576187900193
40jc0216_2.2526_40ha010s_-2.2526.wav,3116,23478,0.5644269244232385
20qa010h_1.7552_013o0312_-1.7552.wav,15409,21052,2.986202027627618
028o031d_0.75963_01ca010d_-0.75963.wav,10199,22591,1.6124317532947305
40bo0319_1.5155_01uc0201_-1.5155.wav,17006,1738,0.2059918748634204
20ia010n_1.3886_028a010m_-1.3886.wav,1484,17172,5.672160826562656
01xo0302_0.13399_02do030v_-0.13399.wav,7309,13703,4.480102909298173
026a010b_1.2413_20cc010b_-1.2413.wav,27860,20057,5.303704697951105
20la0108_2.1194_02da010f_-2.1194.wav,5423,30349,0.935267929512368
20oa0105_0.8852_40ha010z_-0.8852.wav,20523,21795,5.85945177895025
20va010a_1.6058_404o0313_-1.6058.wav,10424,28850,5.589040790012318
01ka010f_2.4256_20ia0103_-2.4256.wav,27889,10548,-2.8587342634415065
20ic010c_1.0292_021o0317_-1.0292.wav,17144,1978,5.244990777505997
40ac020b_0.32714_02ca0109_-0.32714.wav,11754,22200,4.7267220198977435
015c0202_0.45613_40ac020a_-0.45613.wav,9176,27202,-1.018271378606363
204a010y_1.6818_01la0109_-1.6818.wav,11627,23557,1.0836371574798616
408a010o_0.79757_024o0316_-0.79757.wav,25042,6604,2.4888892221682672
205a010h_1.5091_02ba0107_-1.5091.wav,309,29126,4.495838415621565
20ac010h_2.4671_40io0319_-2.4671.wav,28550,4552,3.417777680886819
40ea010r_2.2194_401c020s_-2.2194.wav,29999,11151,0.7175636528627192
