utterance_id,noise_samples_beginning_16k,noise_sample_end_16k,target_speaker1_snr_db
445c0206_0.60431_22gc0105_-0.60431.wav,10331,19167,0.415810824433517
420c020h_1.1139_442c0203_-1.1139.wav,29490,10292,-1.2095352361113823
22go0107_0.079969_051c010u_-0.079969.wav,25312,5772,-2.3351586886869478
444o0314_2.1819_053o020e_-2.1819.wav,27734,487,-0.28227104842422257
423o0304_1.419_420c020x_-1.419.wav,14945,12186,0.14201216342765655
423o030b_1.4753_053o0209_-1.4753.wav,8326,9023,-1.0571747829879166
441o030o_1.9903_445c020y_-1.9903.wav,17080,8296,0.6422173103507687
22ga010u_0.43921_443o030l_-0.43921.wav,13640,10980,5.3581923915338034
444o030e_0.90493_443o0304_-0.90493.wav,24685,16938,4.643272276210241
440c0209_1.2048_421a0104_-1.2048.wav,18788,30747,-2.94349611904975
445c020u_0.78863_443o030p_-0.78863.wav,26379,21050,3.18925103878815
440c020t_2.1632_053o020y_-2.1632.wav,24179,5509,1.0562599209509385
440c0213_1.7151_441o030b_-1.7151.wav,929,1896,-0.6142108682466834
052a0513_1.7991_053a050f_-1.7991.wav,7346,15214,1.538549672755714
22gc0112_0.36454_445c0207_-0.36454.wav,21869,25055,0.33143826672776067
421c020x_2.4971_444c020n_-2.4971.wav,30004,9265,4.483395768985092
053a050f_0.93264_443o0314_-0.93264.wav,26008,13023,-0.8843597561663525
22ha0103_1.0593_422c020y_-1.0593.wav,8826,20759,-0.33561903163758977
421c0212_1.0287_423a0104_-1.0287.wav,19410,28180,3.8567191800843554
444c020o_0.97641_421a010s_-0.97641.wav,19900,18284,-1.5442403086597192
052o020m_0.40731_441o030l_-0.40731.wav,10495,28673,-0.8155492709672227
052a050i_2.4816_445c0211_-2.4816.wav,3676,17741,-0.31673210129889107
053c010z_0.70111_422o030x_-0.70111.wav,21602,25354,1.669038341473641
053o020k_1.3781_22go0111_-1.3781.wav,13306,31725,4.639121487230632
422o0304_0.13358_052a050o_-0.13358.wav,5929,23336,-1.9222998406033243
442o0306_2.3923_053a0506_-2.3923.wav,30887,12000,0.30475193364382047
22gc010h_2.0104_420c020j_-2.0104.wav,15556,22602,-1.421924590298146
22hc010z_0.087779_22gc010x_-0.087779.wav,11950,6685,-0.8572591271388568
443o0313_0.61777_053c010u_-0.61777.wav,22518,30489,4.8567322003695015
22ho010w_2.007_051c010o_-2.007.wav,4361,30178,5.0671032535966845
421a0105_1.0119_423a010m_-1.0119.wav,28682,23372,0.07666736662707718
445o030t_1.4592_22hc010b_-1.4592.wav,8542,21940,-2.831342724932192
442c0215_0.24366_446o0302_-0.24366.wav,26011,5113,4.300129695022634
441o0313_2.0048_440c0204_-2.0048.wav,25343,22244,5.9422667387931565
051o020a_2.3917_423o030s_-2.3917.wav,28739,26231,2.083849643754758
447c020a_0.25387_050a050h_-0.25387.wav,23979,6383,0.7308509322807466
440o0303_2.2059_443o0304_-2.2059.wav,9665,19901,2.0421296432029186
445c020b_1.9232_422o0309_-1.9232.wav,17602,13477,0.12912265041475068
22ha010r_0.1879_446c020o_-0.1879.wav,6940,17595,0.09166793619127045
444c020u_1.0117_053a050x_-1.0117.wav,27365,29605,-0.8837963976018557
445o030g_0.89549_421c0202_-0.89549.wav,4724,27127,4.843111685421034
444c0203_2.4753_445c020c_-2.4753.wav,25213,26198,-0.771546880582441
050o0203_0.11331_443c020r_-0.11331.wav,29108,2736,1.5144816612086576
444c020v_1.5892_423o030e_-1.5892.wav,24135,16335,4.62310597060489
441o030w_0.56176_053o020d_-0.56176.wav,18742,29450,-2.4532241487880873
440c0214_1.4652_051o020w_-1.4652.wav,5553,6875,0.05213214722009063
22gc0114_0.048137_422o0303_-0.048137.wav,21784,26941,5.898390912205027
443c020s_1.8007_446o0312_-1.8007.wav,6445,19017,2.2846138689229356
442c020i_0.010825_443o030x_-0.010825.wav,1674,30331,5.27918358108678
22ga010e_0.51468_051c0115_-0.51468.wav,6140,13599,1.1346528118314465
446c020r_1.1168_423c020u_-1.1168.wav,8003,25285,5.884113764843702
446o030k_1.7305_051c010w_-1.7305.wav,14341,4575,1.0793294304334422
053o020r_0.21241_050a050n_-0.21241.wav,18219,16814,-1.3527964310124876
444c0203_1.2986_053c010n_-1.2986.wav,17608,3215,4.993104294204482
446o0319_2.2664_447c0210_-2.2664.wav,26071,12560,3.2846732571710593
420o030k_2.2026_440o030s_-2.2026.wav,1835,20551,2.480135913124778
421o0307_1.5505_420o0301_-1.5505.wav,26068,7939,3.9262913493252443
051a050c_0.4903_443o030h_-0.4903.wav,12118,3299,4.820928235804307
22gc010v_0.76199_050a050i_-0.76199.wav,5191,29696,-0.08627499960310869
051o020c_0.27109_445o0305_-0.27109.wav,19972,10228,-1.8583343080973846
22ga0111_2.1333_050a0507_-2.1333.wav,14174,5972,2.9620208947915065
422a010x_2.3571_421c0203_-2.3571.wav,20265,25724,-0.6880873035709532
440c0204_0.32859_053c010d_-0.32859.wav,4307,19788,5.638575288440801
442c0210_1.5014_444o030n_-1.5014.wav,21671,1800,5.343938973173108
051a0507_0.12155_423c0207_-0.12155.wav,19900,29868,5.418341830707261
421c020a_2.0997_443c020p_-2.0997.wav,3445,15252,-0.834902094253918
052a050j_0.086419_423a0106_-0.086419.wav,11660,14823,-2.7981203802347663
445o0304_0.21589_440c020q_-0.21589.wav,12156,27696,-1.128881667088951
423c0203_1.4978_441c020v_-1.4978.wav,10500,26184,-0.8559671823359158
445o030y_1.5004_421o0307_-1.5004.wav,28349,19625,-0.33984292818891104
420a010x_1.3856_052a050g_-1.3856.wav,1887,18163,4.799488333897677
053o020x_2.1625_441c0203_-2.1625.wav,21307,27667,0.9741091392936747
22hc010x_1.9781_422c0205_-1.9781.wav,29335,7268,3.876470483175754
441c0211_2.1911_442c020k_-2.1911.wav,20987,5792,-2.2099889327589217
421o0308_2.2663_444o030n_-2.2663.wav,14699,4578,1.108067035921957
050c0105_0.94642_444c020p_-0.94642.wav,7001,29108,-0.21526383606693322
421c0210_2.0898_442c0202_-2.0898.wav,3313,12607,1.4185585310558926
443o030q_2.0124_052o020l_-2.0124.wav,1906,3636,2.505361575071369
423o0308_1.9242_447o030j_-1.9242.wav,24070,28341,-1.0743398419701873
446o030e_1.6619_442c020s_-1.6619.wav,7238,5807,1.572295678481372
051a050r_2.3742_423a010v_-2.3742.wav,15217,30332,2.6290761301379666
420a010d_1.4116_422a010k_-1.4116.wav,14179,16014,-1.7910467844085356
